line_index,LD_value
521,1.0
522,0.3333333333333333
523,1.0
524,0.0
525,0.0
526,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,0.5
532,1.0
533,0.0
534,0.0
535,2.0
536,0.0
537,0.0
538,2.0
539,0.0
540,3.0
541,0.5
542,0.0
543,0.0
544,1.5
545,1.0
546,0.0
547,1.0
548,0.0
549,0.0
550,0.0
551,0.5
552,3.0
553,0.5
554,0.5
555,0.3333333333333333
556,1.0
557,1.0
558,0.0
559,0.3333333333333333
560,1.0
561,0.0
562,0.0
563,0.0
564,1.0
565,2.0
566,1.0
567,1.0
568,0.0
569,0.0
570,1.0
571,1.0
572,0.6666666666666666
573,0.5
574,1.0
575,1.0
576,0.0
577,2.0
578,0.5
579,0.5
580,0.5
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,2.0
587,0.0
588,0.0
589,0.0
590,0.0
591,2.0
592,0.0
593,2.0
594,0.0
595,0.0
596,1.0
597,1.0
598,1.0
599,1.0
600,0.0
601,1.0
602,0.0
603,0.0
604,0.0
605,1.0
606,1.0
607,0.0
608,0.5
609,1.0
610,0.0
611,0.0
612,0.5
613,0.0
614,0.0
615,0.0
616,1.0
617,0.0
618,1.0
619,0.5
620,4.0
621,0.3333333333333333
622,1.5
623,0.0
624,0.3333333333333333
625,3.0
626,1.0
627,2.0
628,3.0
629,0.0
630,1.0
631,0.0
632,4.0
633,1.0
634,1.0
635,0.0
636,0.0
637,0.0
638,0.0
639,2.0
640,0.0
641,0.0
642,1.0
643,0.0
644,2.0
645,1.0
646,0.5
647,2.0
648,2.0
649,0.0
650,1.0
651,0.0
652,0.0
653,0.0
654,0.5
655,1.0
656,0.0
657,2.0
658,0.0
659,1.0
660,0.0
661,0.3333333333333333
662,4.0
663,1.5
664,0.5
665,1.0
666,1.0
667,0.5
668,0.0
669,0.0
670,1.0
671,0.0
672,0.5
673,0.6666666666666666
674,0.0
675,1.0
676,0.0
677,0.3333333333333333
678,4.0
679,0.5
680,3.0
681,1.0
682,2.0
683,1.0
684,0.3333333333333333
685,0.0
686,1.0
687,0.0
688,0.0
689,1.0
690,1.0
691,1.0
692,0.0
693,1.0
694,0.0
695,0.0
696,0.0
697,2.0
698,0.5
699,0.0
700,0.5
701,0.0
702,0.5
703,0.0
704,1.0
705,0.0
706,1.0
707,0.5
708,1.0
709,0.0
710,2.0
711,1.0
712,1.0
713,0.0
714,0.0
715,1.0
716,1.5
717,0.5
718,1.0
719,1.0
720,0.0
721,0.0
722,0.0
723,1.0
724,1.0
725,1.0
726,0.0
727,2.0
728,0.0
729,2.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.5
735,0.0
736,0.5
737,2.0
738,3.0
739,0.0
740,1.0
741,1.0
742,1.0
743,1.0
744,2.0
745,0.0
746,0.0
747,0.0
748,2.0
749,2.0
750,2.0
751,0.0
752,1.0
753,0.5
754,0.3333333333333333
755,0.6666666666666666
756,0.5
757,0.6666666666666666
758,1.0
759,3.0
760,0.0
761,1.0
762,0.3333333333333333
763,0.0
764,1.0
765,0.0
766,1.0
767,1.0
768,0.0
769,1.0
770,2.0
771,1.5
772,0.0
773,0.0
774,1.0
775,1.0
776,1.0
777,4.0
778,5.0
779,0.0
780,0.5
781,0.0
782,2.0
783,3.0
784,1.0
785,2.0
786,0.0
787,2.0
788,0.0
789,0.0
790,0.3333333333333333
791,0.0
792,1.0
793,1.0
794,0.0
795,1.0
796,2.0
797,0.5
798,0.5
799,0.5
800,1.0
801,0.0
802,0.0
803,0.0
804,2.0
805,0.0
806,0.5
807,1.0
808,0.0
809,1.0
810,2.0
811,0.5
812,0.0
813,1.0
814,4.0
815,1.0
816,0.0
817,1.0
818,0.0
819,2.0
820,0.0
821,3.0
822,0.0
823,0.0
824,0.5
825,3.0
826,1.0
827,0.0
828,1.0
829,1.0
830,0.0
831,2.0
832,1.0
833,0.0
834,1.0
835,0.5
836,1.0
837,0.0
838,0.5
839,2.0
840,0.0
841,0.5
842,0.3333333333333333
843,0.0
844,0.25
845,1.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,1.0
854,1.0
855,0.0
856,0.0
857,0.0
858,1.0
859,0.5
860,0.0
861,0.0
862,0.5
863,0.0
864,1.0
865,0.0
866,0.0
867,1.0
868,0.0
869,1.0
870,1.0
871,0.0
872,0.0
873,2.0
874,0.0
875,1.0
876,2.0
877,1.0
878,0.0
879,0.0
880,1.0
881,0.5
882,0.5
883,0.6666666666666666
884,1.0
885,1.0
886,2.0
887,0.0
888,2.0
889,0.0
890,0.0
891,0.0
892,1.0
893,0.0
894,0.0
895,2.0
896,0.0
897,1.0
898,1.0
899,0.5
900,0.0
901,0.0
902,2.0
903,1.0
904,0.0
905,0.0
906,0.5
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,3.0
913,3.0
914,2.0
915,1.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,3.0
923,1.0
924,0.0
925,0.0
926,1.0
927,1.0
928,2.0
929,1.0
930,0.0
931,0.0
932,0.5
933,0.0
934,1.0
935,1.0
936,0.0
937,2.0
938,1.0
939,1.0
940,0.0
941,1.0
942,0.0
943,0.0
944,0.5
945,1.0
946,0.0
947,1.0
948,0.0
949,0.0
950,0.0
951,1.0
952,1.0
953,0.0
954,0.0
955,0.0
956,1.5
957,1.5
958,2.0
959,0.5
960,2.0
961,0.0
962,1.0
963,1.0
964,0.25
965,0.0
966,0.0
967,0.0
968,0.0
969,1.0
970,2.0
971,3.0
972,0.0
973,0.0
974,0.0
975,0.0
976,1.0
977,0.0
978,1.0
979,0.5
980,0.0
981,1.0
982,0.25
983,0.0
984,1.0
985,2.0
986,0.0
987,1.0
988,1.0
989,0.3333333333333333
990,1.0
991,0.5
992,0.5
993,0.25
994,0.3333333333333333
995,1.0
996,1.0
997,2.0
998,0.5
999,1.0
1000,0.0
1001,2.0
1002,0.0
1003,0.0
1004,0.5
1005,0.5
1006,2.0
1007,0.5
1008,0.5
1009,1.0
1010,0.0
1011,0.0
