line_index,LD_value
674,2.0
675,0.5
676,0.0
677,1.0
678,0.5
679,-1.0
680,0.0
681,1.0
682,-1.0
683,1.0
684,0.3333333333333333
685,1.0
686,0.5
687,-1.0
688,0.0
689,0.5
690,1.0
691,-1.0
692,0.0
693,1.0
694,0.0
695,0.3333333333333333
696,-1.0
697,-1.0
698,-1.0
699,1.0
700,1.0
701,-1.0
702,-1.0
703,2.0
704,1.0
705,0.5
706,0.0
707,-1.0
708,-1.0
709,1.0
710,1.0
711,-1.0
712,0.0
713,-1.0
714,-1.0
715,-1.0
716,0.0
717,0.0
718,0.0
719,0.3333333333333333
720,2.0
721,1.0
722,2.0
723,0.3333333333333333
724,0.0
725,0.0
726,0.0
727,1.0
728,1.0
729,0.0
730,1.0
731,2.0
732,-1.0
733,0.5
734,-1.0
735,0.0
736,-1.0
737,0.5
738,0.5
739,2.0
740,-1.0
741,-1.0
742,1.0
743,0.0
744,-1.0
745,-1.0
746,-1.0
747,2.0
748,0.0
749,1.0
750,-1.0
751,-1.0
752,1.0
753,0.0
754,-1.0
755,1.0
756,0.0
757,1.0
758,0.0
759,1.0
760,-1.0
761,0.0
762,0.5
763,2.0
764,1.0
765,1.0
766,0.0
767,2.0
768,2.0
769,1.0
770,-1.0
771,0.0
772,0.0
773,1.0
774,-1.0
775,1.0
776,-1.0
777,1.0
778,-1.0
779,1.0
780,2.0
781,-1.0
782,0.0
783,-1.0
784,-1.0
785,1.0
786,1.0
787,0.5
788,-1.0
789,2.0
790,1.0
791,1.0
792,0.0
793,2.0
794,0.5
795,2.0
796,2.0
797,2.0
798,1.0
799,3.0
800,-1.0
801,1.5
802,1.0
803,0.5
804,1.0
805,0.5
806,0.5
807,1.0
808,1.0
809,1.0
810,2.0
811,1.0
812,2.0
813,2.0
814,0.5
815,1.0
816,2.0
817,-1.0
818,0.0
819,2.0
820,0.0
821,-1.0
822,-1.0
823,-1.0
824,0.5
825,1.0
826,1.0
827,0.6666666666666666
828,0.0
829,-1.0
830,1.0
831,1.0
832,0.5
833,2.0
834,0.0
835,2.0
836,0.0
837,-1.0
838,2.0
839,3.0
840,-1.0
841,-1.0
842,-1.0
843,0.0
844,-1.0
845,0.3333333333333333
846,-1.0
847,-1.0
848,1.0
849,0.5
850,-1.0
851,0.0
852,0.0
853,1.0
854,0.0
855,-1.0
856,0.5
857,1.0
858,1.0
859,0.0
860,0.0
861,2.0
862,1.5
863,2.0
864,0.0
865,-1.0
866,-1.0
867,1.0
868,0.3333333333333333
869,-1.0
870,-1.0
871,0.0
872,-1.0
873,3.0
874,1.0
875,-1.0
876,0.25
877,1.0
878,-1.0
879,0.3333333333333333
880,1.0
881,0.5
882,2.0
883,0.5
884,1.0
885,0.0
886,0.0
887,-1.0
888,-1.0
889,0.6666666666666666
890,-1.0
891,4.0
892,0.0
893,-1.0
894,-1.0
895,4.0
896,1.0
897,1.0
898,-1.0
899,-1.0
900,0.5
901,1.0
902,0.5
903,1.0
904,1.0
905,-1.0
906,0.3333333333333333
907,0.5
908,1.0
909,-1.0
910,0.0
911,0.5
912,0.0
913,1.0
914,0.0
915,0.0
916,0.5
917,-1.0
918,-1.0
919,-1.0
920,-1.0
921,-1.0
922,-1.0
923,0.0
924,-1.0
925,-1.0
926,-1.0
927,0.0
928,-1.0
929,0.0
930,-1.0
931,-1.0
932,0.0
933,-1.0
934,-1.0
935,1.0
936,1.0
937,-1.0
938,-1.0
939,-1.0
940,2.0
941,2.0
942,-1.0
943,-1.0
944,-1.0
945,0.0
946,0.0
947,-1.0
948,0.0
949,-1.0
950,0.0
951,-1.0
952,-1.0
953,-1.0
954,0.0
955,-1.0
956,-1.0
957,0.0
958,-1.0
959,3.0
960,-1.0
961,-1.0
962,-1.0
963,-1.0
964,-1.0
965,0.0
966,0.0
967,-1.0
968,-1.0
969,-1.0
970,-1.0
971,-1.0
972,-1.0
973,2.0
974,-1.0
975,-1.0
976,-1.0
977,-1.0
978,0.0
979,-1.0
980,-1.0
981,1.0
982,0.0
983,-1.0
984,-1.0
985,-1.0
986,0.6666666666666666
987,-1.0
988,-1.0
989,-1.0
990,0.0
991,-1.0
992,-1.0
993,-1.0
994,-1.0
995,0.0
996,0.0
997,-1.0
998,-1.0
999,-1.0
1000,-1.0
1001,0.0
1002,0.0
1003,-1.0
1004,0.0
1005,0.0
1006,-1.0
1007,0.0
1008,0.0
1009,-1.0
1010,-1.0
1011,0.0
1012,-1.0
1013,2.0
1014,-1.0
1015,-1.0
1016,-1.0
1017,-1.0
1018,-1.0
1019,-1.0
1020,-1.0
1021,-1.0
1022,-1.0
1023,-1.0
1024,0.0
1025,0.0
1026,0.0
1027,-1.0
1028,0.0
1029,-1.0
1030,1.0
1031,-1.0
1032,0.0
1033,-1.0
1034,1.0
1035,0.0
1036,1.0
1037,-1.0
1038,-1.0
1039,-1.0
1040,-1.0
1041,-1.0
1042,2.0
1043,0.0
1044,-1.0
1045,-1.0
1046,-1.0
1047,0.0
1048,-1.0
1049,-1.0
1050,-1.0
1051,-1.0
1052,-1.0
1053,1.0
1054,2.0
1055,1.0
1056,0.0
1057,-1.0
1058,-1.0
1059,-1.0
1060,0.0
1061,1.0
1062,0.0
1063,-1.0
1064,-1.0
1065,0.5
1066,0.0
1067,0.6666666666666666
1068,-1.0
1069,-1.0
1070,-1.0
1071,0.0
1072,1.0
1073,-1.0
1074,-1.0
1075,-1.0
1076,0.0
1077,0.0
1078,1.0
1079,1.0
1080,-1.0
1081,-1.0
1082,-1.0
1083,1.0
1084,0.0
1085,-1.0
1086,0.0
1087,-1.0
1088,-1.0
1089,-1.0
1090,1.0
1091,1.0
1092,0.0
1093,-1.0
1094,1.0
1095,0.0
1096,-1.0
1097,1.0
1098,0.0
1099,-1.0
1100,-1.0
1101,0.0
1102,0.0
1103,1.0
1104,0.0
1105,-1.0
1106,-1.0
1107,0.0
1108,1.0
1109,0.0
1110,-1.0
1111,-1.0
1112,0.0
1113,0.0
1114,1.0
1115,1.0
1116,1.0
1117,-1.0
1118,-1.0
1119,-1.0
1120,-1.0
1121,2.0
1122,0.0
1123,0.5
1124,0.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,-1.0
1129,2.0
1130,-1.0
1131,0.5
1132,1.0
1133,1.0
1134,-1.0
1135,1.0
1136,0.0
1137,1.0
1138,-1.0
1139,0.5
1140,1.0
1141,2.0
1142,-1.0
1143,-1.0
1144,-1.0
1145,-1.0
1146,-1.0
1147,0.0
1148,0.0
1149,1.0
1150,0.0
1151,-1.0
